EmployeeNumber,Age,Department,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion
461,38,Research & Development,2,Life Sciences,Male,Research Director,4,11510,3,12,11,2
462,31,Research & Development,4,Medical,Female,Manufacturing Director,4,7143,3,11,11,4
463,29,Sales,1,Marketing,Female,Sales Executive,2,8268,3,7,7,1
464,35,Research & Development,4,Technical Degree,Male,Manufacturing Director,2,8095,3,17,16,0
465,23,Research & Development,1,Life Sciences,Male,Research Scientist,4,2904,3,4,4,0
466,41,Research & Development,3,Medical,Male,Manufacturing Director,2,6032,3,8,5,1
467,47,Sales,1,Medical,Male,Sales Representative,3,2976,3,5,0,0
468,42,Research & Development,5,Life Sciences,Female,Research Director,4,15992,3,16,1,0
469,29,Sales,3,Life Sciences,Male,Sales Executive,3,4649,3,4,4,0
470,42,Human Resources,1,Technical Degree,Male,Human Resources,3,2696,3,4,3,1
471,32,Research & Development,3,Medical,Female,Laboratory Technician,2,2370,3,8,8,0
473,48,Sales,1,Medical,Female,Manager,3,12504,4,15,0,0
474,37,Research & Development,3,Medical,Male,Research Scientist,1,5974,3,13,7,6
475,30,Sales,2,Technical Degree,Female,Sales Executive,3,4736,3,4,2,2
476,26,Sales,3,Life Sciences,Male,Sales Executive,3,5296,3,8,8,7
477,42,Research & Development,4,Other,Male,Healthcare Representative,4,6781,4,14,1,0
478,21,Sales,1,Technical Degree,Female,Sales Representative,2,2174,3,3,3,1
479,36,Sales,5,Medical,Female,Sales Executive,4,6653,3,7,1,0
481,36,Sales,4,Medical,Male,Sales Executive,4,9699,3,16,13,1
482,57,Research & Development,4,Medical,Male,Healthcare Representative,3,6755,3,15,3,1
483,40,Research & Development,4,Life Sciences,Female,Laboratory Technician,3,2213,3,10,7,1
484,21,Sales,2,Medical,Male,Sales Representative,4,2610,4,3,3,2
485,33,Sales,3,Marketing,Female,Sales Representative,3,2851,3,1,1,0
486,37,Research & Development,3,Medical,Female,Laboratory Technician,1,3452,4,17,5,0
487,46,Research & Development,4,Medical,Female,Manufacturing Director,3,5258,3,7,1,0
488,41,Sales,3,Marketing,Male,Sales Executive,2,9355,3,8,8,7
491,50,Research & Development,3,Technical Degree,Male,Healthcare Representative,4,10496,3,20,4,1
492,40,Sales,2,Marketing,Male,Sales Executive,3,6380,3,8,6,1
493,31,Research & Development,4,Life Sciences,Male,Research Scientist,2,2657,3,3,2,2
494,21,Sales,3,Life Sciences,Female,Sales Representative,2,2716,3,1,1,0
495,29,Research & Development,3,Life Sciences,Male,Research Scientist,4,2201,3,6,3,1
496,35,Research & Development,4,Life Sciences,Male,Healthcare Representative,2,6540,3,10,1,0
497,27,Research & Development,2,Medical,Male,Laboratory Technician,2,3816,3,5,5,0
498,28,Sales,4,Life Sciences,Male,Sales Executive,4,5253,3,7,7,0
499,49,Research & Development,3,Other,Male,Healthcare Representative,3,10965,4,26,5,0
500,51,Sales,2,Life Sciences,Female,Sales Executive,4,4936,3,18,7,0
501,36,Research & Development,3,Life Sciences,Female,Research Scientist,3,2543,3,6,2,2
502,34,Sales,3,Marketing,Male,Sales Executive,4,5304,3,9,5,0
505,55,Research & Development,3,Life Sciences,Female,Manager,4,16659,3,30,5,1
507,24,Sales,4,Marketing,Female,Sales Executive,3,4260,3,5,5,0
508,30,Sales,1,Technical Degree,Male,Sales Representative,2,2476,3,1,1,0
510,26,Research & Development,1,Technical Degree,Male,Research Scientist,1,3102,4,7,6,0
511,22,Research & Development,3,Medical,Female,Research Scientist,2,2244,3,2,2,1
513,36,Sales,2,Medical,Male,Sales Executive,3,7596,3,10,10,9
514,30,Research & Development,3,Technical Degree,Male,Research Scientist,4,2285,4,3,1,0
515,37,Research & Development,3,Life Sciences,Female,Laboratory Technician,1,3034,3,18,18,12
516,40,Sales,2,Marketing,Female,Sales Executive,2,5715,3,8,5,1
517,42,Research & Development,4,Life Sciences,Female,Laboratory Technician,1,2576,3,8,5,1
518,37,Research & Development,4,Life Sciences,Male,Manufacturing Director,2,4197,3,18,1,0
520,43,Research & Development,3,Life Sciences,Male,Research Director,2,14336,3,25,25,3
521,40,Research & Development,3,Medical,Female,Laboratory Technician,3,3448,4,20,1,0
522,54,Research & Development,2,Medical,Male,Research Director,1,19406,3,24,4,1
523,34,Sales,4,Marketing,Female,Sales Executive,3,6538,3,6,3,1
524,31,Research & Development,2,Medical,Female,Manufacturing Director,1,4306,3,13,13,3
525,43,Research & Development,3,Medical,Male,Laboratory Technician,4,2258,4,8,3,1
526,43,Research & Development,4,Other,Female,Healthcare Representative,3,4522,3,8,5,0
527,25,Sales,2,Life Sciences,Female,Sales Executive,4,4487,3,5,5,1
529,37,Research & Development,5,Medical,Female,Research Scientist,3,4449,3,15,13,10
530,31,Research & Development,2,Life Sciences,Male,Laboratory Technician,1,2218,3,4,4,3
531,39,Research & Development,1,Life Sciences,Male,Manager,3,19197,3,21,21,1
532,56,Sales,3,Life Sciences,Female,Sales Executive,1,13212,3,36,7,7
533,30,Sales,3,Technical Degree,Female,Sales Executive,3,6577,3,6,5,4
534,41,Sales,3,Marketing,Male,Sales Executive,1,8392,3,10,10,0
536,28,Research & Development,2,Medical,Male,Laboratory Technician,1,4558,3,10,10,1
538,25,Research & Development,3,Medical,Male,Laboratory Technician,1,4031,3,6,2,0
543,52,Research & Development,3,Medical,Male,Manufacturing Director,3,7969,3,28,5,0
544,45,Research & Development,2,Life Sciences,Male,Research Scientist,4,2654,4,8,2,0
546,52,Research & Development,2,Life Sciences,Female,Manager,4,16555,3,31,5,1
547,42,Research & Development,2,Life Sciences,Female,Research Scientist,3,4556,3,19,5,0
548,30,Research & Development,3,Life Sciences,Female,Manufacturing Director,4,6091,4,11,5,0
549,60,Research & Development,3,Life Sciences,Female,Manager,1,19566,3,33,29,11
550,46,Research & Development,3,Medical,Female,Manufacturing Director,3,4810,3,19,10,0
551,42,Research & Development,4,Technical Degree,Female,Healthcare Representative,4,4523,3,7,6,0
554,24,Sales,1,Technical Degree,Female,Sales Representative,2,3202,3,6,5,1
555,34,Sales,2,Marketing,Female,Sales Representative,3,2351,3,3,2,1
556,38,Research & Development,2,Life Sciences,Male,Laboratory Technician,4,1702,4,1,1,0
558,40,Sales,4,Life Sciences,Female,Manager,3,18041,3,21,20,1
560,26,Research & Development,3,Life Sciences,Female,Research Scientist,4,2886,4,3,3,0
562,30,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,2097,3,9,5,1
564,29,Research & Development,4,Medical,Male,Research Director,3,11935,3,10,10,0
565,29,Research & Development,5,Technical Degree,Female,Research Scientist,2,2546,3,6,2,1
566,19,Human Resources,2,Technical Degree,Male,Human Resources,4,2564,3,1,1,0
567,30,Sales,4,Other,Female,Sales Executive,1,8412,3,10,9,7
568,57,Sales,3,Marketing,Male,Manager,4,14118,3,32,1,0
569,50,Research & Development,4,Life Sciences,Male,Manager,3,17046,3,28,27,15
571,30,Research & Development,3,Medical,Female,Laboratory Technician,4,2564,3,12,11,6
573,60,Sales,3,Marketing,Female,Sales Executive,1,10266,3,22,18,13
574,47,Research & Development,2,Medical,Female,Manufacturing Director,4,5070,3,20,5,0
575,46,Research & Development,3,Life Sciences,Male,Research Director,3,17861,3,26,3,0
577,35,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,4230,3,6,5,4
578,54,Research & Development,4,Life Sciences,Female,Laboratory Technician,3,3780,3,19,1,0
579,34,Research & Development,4,Life Sciences,Male,Research Scientist,3,2768,3,14,7,5
580,46,Sales,3,Marketing,Female,Sales Executive,4,9071,3,15,3,1
581,31,Research & Development,1,Life Sciences,Male,Manufacturing Director,2,10648,4,13,13,0
582,33,Research & Development,1,Medical,Male,Manager,3,13610,3,15,7,7
584,33,Research & Development,1,Medical,Male,Laboratory Technician,4,3408,3,8,4,1
585,30,Sales,1,Marketing,Male,Sales Representative,2,2983,3,4,3,1
586,35,Research & Development,3,Life Sciences,Male,Healthcare Representative,3,7632,3,10,8,0
587,31,Research & Development,3,Life Sciences,Male,Healthcare Representative,3,9824,3,12,1,0
590,34,Human Resources,3,Human Resources,Female,Human Resources,1,9950,3,11,3,0
591,42,Research & Development,2,Other,Male,Laboratory Technician,3,2093,3,8,2,2
592,36,Sales,4,Medical,Male,Sales Executive,4,9980,3,10,10,9
593,22,Research & Development,1,Technical Degree,Male,Laboratory Technician,3,3894,3,4,2,1
595,48,Sales,5,Marketing,Female,Sales Executive,4,4051,3,14,9,6
597,55,Sales,5,Life Sciences,Female,Manager,2,16835,4,37,10,7
599,41,Sales,2,Life Sciences,Male,Sales Executive,4,6230,3,16,14,1
600,35,Sales,3,Marketing,Male,Sales Executive,3,4717,3,15,11,6
601,40,Research & Development,3,Life Sciences,Female,Manufacturing Director,3,13237,3,22,20,5
602,39,Research & Development,1,Life Sciences,Female,Laboratory Technician,3,3755,3,8,8,0
604,31,Sales,1,Life Sciences,Male,Sales Executive,4,6582,3,10,6,0
605,42,Research & Development,3,Medical,Male,Manufacturing Director,1,7406,4,10,10,5
606,45,Sales,3,Other,Male,Sales Executive,2,4805,3,9,8,3
608,26,Human Resources,4,Life Sciences,Female,Human Resources,3,2741,3,8,7,1
611,29,Research & Development,3,Technical Degree,Male,Manufacturing Director,4,4262,3,8,3,1
612,33,Research & Development,5,Medical,Female,Research Director,3,16184,3,10,6,0
613,31,Sales,3,Life Sciences,Male,Manager,4,11557,4,10,5,0
614,18,Sales,3,Marketing,Male,Sales Representative,2,1878,3,0,0,0
615,40,Sales,3,Other,Male,Sales Executive,1,10932,3,20,1,0
616,41,Research & Development,4,Other,Female,Healthcare Representative,3,6811,3,10,8,0
618,26,Sales,2,Medical,Male,Sales Executive,3,4306,3,8,0,0
620,35,Sales,3,Medical,Female,Sales Executive,3,4859,3,5,5,0
621,34,Sales,4,Life Sciences,Male,Sales Executive,4,5337,3,10,10,5
622,26,Research & Development,3,Technical Degree,Male,Laboratory Technician,4,2340,3,1,1,0
623,37,Research & Development,3,Technical Degree,Female,Manufacturing Director,4,7491,3,12,6,1
624,46,Research & Development,1,Medical,Female,Healthcare Representative,3,10527,3,28,2,1
625,41,Sales,5,Life Sciences,Female,Manager,1,16595,3,22,18,11
626,37,Sales,4,Medical,Male,Sales Executive,2,8834,3,9,9,7
630,52,Research & Development,2,Technical Degree,Male,Research Scientist,1,5577,3,18,10,6
631,32,Sales,4,Other,Male,Sales Executive,3,4707,3,6,4,1
632,24,Sales,3,Medical,Male,Sales Representative,4,2400,3,3,2,2
634,38,Research & Development,3,Medical,Female,Healthcare Representative,3,9824,3,18,1,0
635,37,Research & Development,4,Life Sciences,Female,Manufacturing Director,2,6447,3,8,6,4
638,49,Research & Development,4,Life Sciences,Male,Research Director,3,19502,3,31,31,0
639,24,Research & Development,3,Medical,Male,Research Scientist,4,2725,3,6,6,1
641,26,Sales,2,Marketing,Male,Sales Executive,2,6272,4,6,5,1
643,24,Research & Development,2,Other,Male,Laboratory Technician,2,2127,4,1,1,0
644,50,Human Resources,3,Medical,Male,Manager,2,18200,3,32,32,10
645,25,Sales,1,Medical,Male,Sales Representative,3,2096,3,7,7,0
647,24,Research & Development,3,Life Sciences,Female,Laboratory Technician,3,2886,3,6,6,1
648,30,Sales,4,Life Sciences,Male,Sales Representative,1,2033,3,1,1,0
649,34,Research & Development,2,Life Sciences,Male,Research Scientist,4,3622,3,6,6,1
650,31,Sales,4,Medical,Male,Sales Executive,1,4233,3,9,3,1
652,35,Research & Development,2,Other,Male,Laboratory Technician,4,3681,3,9,3,0
653,31,Sales,4,Medical,Male,Sales Executive,4,5460,4,13,7,5
655,27,Research & Development,4,Medical,Female,Research Scientist,3,2187,3,6,5,0
656,37,Sales,3,Marketing,Male,Sales Executive,3,9602,3,17,3,1
657,20,Research & Development,3,Life Sciences,Female,Research Scientist,2,2836,3,1,1,0
659,42,Research & Development,4,Life Sciences,Female,Healthcare Representative,4,4089,3,10,10,2
661,43,Research & Development,4,Other,Male,Research Director,4,16627,3,21,1,0
662,38,Research & Development,1,Life Sciences,Female,Research Scientist,1,2619,3,8,0,0
663,43,Research & Development,5,Medical,Male,Laboratory Technician,3,5679,3,10,8,4
664,48,Research & Development,4,Life Sciences,Female,Manager,1,15402,3,21,3,0
665,44,Human Resources,4,Life Sciences,Female,Human Resources,3,5985,3,10,2,0
666,34,Sales,3,Technical Degree,Female,Sales Representative,3,2579,3,8,8,0
667,27,Sales,1,Marketing,Male,Sales Representative,1,3041,3,5,4,0
669,21,Sales,1,Technical Degree,Male,Sales Representative,3,3447,3,3,3,1
671,44,Research & Development,4,Other,Male,Manager,4,19513,3,26,2,0
675,22,Research & Development,1,Medical,Male,Research Scientist,3,2773,4,3,2,2
677,33,Sales,4,Marketing,Male,Sales Executive,3,7104,3,6,5,1
679,32,Research & Development,4,Life Sciences,Female,Research Scientist,4,6322,3,6,6,0
680,30,Research & Development,3,Medical,Female,Research Scientist,3,2083,4,1,1,0
682,53,Sales,1,Medical,Female,Sales Executive,1,8381,4,18,14,8
683,34,Research & Development,5,Life Sciences,Male,Research Scientist,4,2691,3,10,10,8
684,45,Sales,4,Life Sciences,Female,Sales Executive,1,4286,3,5,1,0
686,26,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,2659,3,3,3,0
689,37,Research & Development,3,Other,Male,Manufacturing Director,3,9434,3,10,10,7
690,29,Sales,2,Medical,Female,Sales Executive,3,5561,3,6,6,1
691,35,Research & Development,4,Life Sciences,Male,Research Scientist,4,6646,3,17,17,11
692,33,Research & Development,3,Life Sciences,Male,Healthcare Representative,4,7725,4,15,13,4
698,54,Human Resources,4,Medical,Male,Human Resources,2,10725,3,16,9,7
699,36,Research & Development,2,Medical,Male,Manufacturing Director,2,8847,3,13,3,0
700,27,Research & Development,4,Medical,Male,Research Scientist,4,2045,3,5,4,1
701,20,Research & Development,1,Medical,Male,Research Scientist,3,1009,3,1,1,1
702,33,Research & Development,3,Life Sciences,Male,Research Scientist,1,3348,3,10,10,9
704,35,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,1281,3,1,1,0
705,23,Research & Development,3,Medical,Male,Research Scientist,1,2819,3,5,3,0
707,25,Sales,3,Life Sciences,Male,Sales Executive,2,4851,4,4,3,1
709,38,Sales,4,Marketing,Female,Sales Executive,4,4028,4,8,7,0
710,29,Research & Development,4,Life Sciences,Male,Research Scientist,4,2720,3,10,10,2
712,48,Sales,1,Marketing,Male,Sales Executive,2,8120,3,12,2,2
714,27,Sales,1,Medical,Female,Sales Executive,4,4647,4,6,6,0
715,37,Research & Development,2,Life Sciences,Male,Research Scientist,4,4680,3,4,1,0
716,50,Research & Development,1,Medical,Male,Laboratory Technician,3,3221,3,20,20,3
717,34,Research & Development,3,Medical,Female,Healthcare Representative,2,8621,3,9,8,7
720,24,Sales,2,Life Sciences,Female,Sales Executive,3,4577,3,4,2,2
721,39,Research & Development,4,Technical Degree,Female,Healthcare Representative,3,4553,3,20,20,11
722,32,Sales,3,Marketing,Male,Sales Executive,4,5396,3,10,10,0
723,50,Sales,2,Technical Degree,Male,Sales Executive,3,6796,3,18,4,1
724,38,Research & Development,4,Life Sciences,Female,Healthcare Representative,4,7625,3,10,9,1
725,27,Research & Development,2,Life Sciences,Female,Manufacturing Director,1,7412,3,9,9,0
727,32,Research & Development,2,Life Sciences,Female,Research Director,4,11159,3,10,7,7
728,47,Sales,4,Marketing,Male,Sales Executive,1,4960,3,20,7,1
729,40,Sales,4,Life Sciences,Male,Sales Executive,1,10475,4,20,18,1
730,53,Research & Development,3,Life Sciences,Male,Research Director,3,14814,3,32,5,1
731,41,Human Resources,4,Human Resources,Male,Manager,4,19141,3,23,21,12
732,60,Sales,4,Marketing,Male,Sales Executive,1,5405,3,10,2,2
733,27,Research & Development,2,Life Sciences,Male,Manufacturing Director,1,8793,4,9,9,1
734,41,Human Resources,3,Human Resources,Male,Manager,3,19189,3,22,22,2
738,50,Sales,4,Marketing,Male,Sales Representative,2,3875,3,4,2,2
741,28,Research & Development,2,Life Sciences,Female,Research Scientist,2,2216,3,10,7,3
742,36,Research & Development,3,Life Sciences,Female,Research Director,1,11713,3,10,8,0
743,38,Research & Development,3,Life Sciences,Female,Manufacturing Director,3,7861,3,10,1,0
744,44,Research & Development,3,Medical,Male,Laboratory Technician,3,3708,3,9,5,1
746,47,Sales,3,Medical,Female,Sales Executive,3,13770,3,28,22,11
747,30,Sales,5,Marketing,Male,Sales Executive,4,5304,4,10,8,7
749,29,Sales,3,Life Sciences,Male,Sales Representative,3,2642,3,1,1,0
752,42,Research & Development,3,Medical,Male,Research Scientist,3,2759,3,7,2,2
754,43,Sales,3,Life Sciences,Male,Sales Executive,4,6804,3,7,2,2
757,34,Research & Development,2,Medical,Female,Healthcare Representative,3,6142,3,10,5,4
758,23,Research & Development,1,Medical,Male,Laboratory Technician,1,2500,3,5,4,0
760,39,Human Resources,3,Human Resources,Female,Human Resources,2,6389,3,12,8,3
762,56,Research & Development,3,Medical,Male,Healthcare Representative,4,11103,3,30,10,1
763,40,Research & Development,1,Medical,Female,Research Scientist,4,2342,4,5,4,2
764,27,Research & Development,3,Medical,Female,Healthcare Representative,1,6811,3,9,7,0
766,29,Sales,3,Marketing,Male,Sales Representative,2,2297,3,2,2,2
769,53,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,2450,3,19,2,2
771,35,Research & Development,4,Life Sciences,Female,Healthcare Representative,1,5093,3,16,1,0
772,32,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,5309,3,10,10,4
773,38,Research & Development,5,Medical,Male,Research Scientist,3,3057,3,6,1,0
775,34,Research & Development,5,Life Sciences,Female,Manufacturing Director,1,5121,3,7,0,0
776,52,Sales,4,Marketing,Male,Manager,1,16856,3,34,34,1
780,33,Research & Development,4,Other,Male,Research Scientist,4,2686,3,10,10,7
781,25,Sales,1,Medical,Female,Sales Executive,4,6180,4,6,6,1
783,45,Sales,2,Technical Degree,Male,Sales Representative,3,6632,3,9,8,3
784,23,Research & Development,1,Medical,Male,Research Scientist,3,3505,3,2,2,0
785,47,Sales,2,Life Sciences,Female,Sales Executive,3,6397,3,8,5,1
786,34,Sales,3,Other,Male,Sales Executive,4,6274,4,6,6,1
787,55,Research & Development,3,Medical,Male,Manager,1,19859,3,24,5,1
789,36,Sales,4,Life Sciences,Male,Sales Executive,1,7587,3,10,10,0
791,52,Research & Development,4,Medical,Male,Research Scientist,4,4258,3,5,4,1
792,26,Research & Development,2,Life Sciences,Female,Laboratory Technician,4,4364,3,5,2,2
793,29,Research & Development,3,Medical,Female,Healthcare Representative,3,4335,3,11,8,1
796,26,Sales,3,Technical Degree,Male,Sales Executive,1,5326,3,6,4,1
797,34,Research & Development,4,Life Sciences,Female,Research Scientist,4,3280,3,10,4,1
799,54,Research & Development,4,Medical,Female,Manufacturing Director,1,5485,3,9,5,1
800,27,Sales,1,Marketing,Male,Sales Executive,4,4342,3,5,4,1
802,37,Research & Development,1,Life Sciences,Female,Research Scientist,1,2782,3,6,5,4
803,38,Research & Development,4,Life Sciences,Female,Manufacturing Director,1,5980,3,17,15,4
804,34,Research & Development,4,Medical,Female,Research Scientist,1,4381,3,6,6,1
805,35,Sales,4,Life Sciences,Female,Sales Representative,4,2572,3,3,3,0
806,30,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,3833,4,7,2,0
807,40,Research & Development,2,Medical,Female,Healthcare Representative,2,4244,4,8,8,3
808,34,Sales,2,Life Sciences,Female,Sales Executive,1,6500,3,6,3,1
809,42,Research & Development,3,Life Sciences,Male,Manager,4,18430,3,24,24,14
811,23,Research & Development,3,Life Sciences,Male,Laboratory Technician,1,1601,4,1,0,0
812,24,Research & Development,3,Life Sciences,Male,Laboratory Technician,2,2694,3,1,1,0
813,52,Research & Development,4,Life Sciences,Female,Laboratory Technician,3,3149,4,9,5,1
815,50,Research & Development,3,Medical,Male,Research Director,3,17639,3,30,4,0
816,29,Research & Development,2,Life Sciences,Female,Laboratory Technician,1,2319,3,1,1,0
817,33,Research & Development,3,Medical,Male,Research Director,3,11691,3,14,13,3
819,33,Sales,3,Marketing,Female,Sales Executive,1,5324,3,6,3,0
820,47,Research & Development,2,Other,Female,Manager,4,16752,3,26,26,3
823,36,Research & Development,3,Other,Female,Manufacturing Director,2,5228,3,10,9,0
824,29,Research & Development,2,Life Sciences,Male,Research Scientist,3,2700,4,10,10,0
825,58,Research & Development,4,Life Sciences,Male,Research Director,2,19246,3,40,31,13
826,35,Research & Development,4,Life Sciences,Female,Research Scientist,3,2506,3,7,2,2
827,42,Research & Development,2,Life Sciences,Female,Manufacturing Director,4,6062,3,8,4,0
828,28,Research & Development,4,Medical,Male,Research Scientist,3,4382,3,5,2,2
829,36,Human Resources,3,Human Resources,Male,Human Resources,2,2143,3,8,5,0
830,32,Research & Development,3,Life Sciences,Female,Manufacturing Director,3,6162,3,14,14,6
832,40,Research & Development,4,Medical,Male,Laboratory Technician,3,5094,3,10,1,0
833,30,Research & Development,3,Medical,Female,Manufacturing Director,4,6877,4,12,0,0
834,45,Research & Development,3,Life Sciences,Female,Research Scientist,3,2274,3,1,1,0
836,42,Research & Development,3,Life Sciences,Male,Manufacturing Director,2,4434,3,10,9,7
837,38,Research & Development,3,Life Sciences,Male,Healthcare Representative,1,6288,3,13,4,1
838,34,Research & Development,4,Life Sciences,Female,Research Scientist,4,2553,3,6,5,1
840,49,Sales,3,Marketing,Female,Sales Executive,4,7654,3,9,9,7
842,55,Sales,1,Medical,Male,Sales Executive,4,5160,3,12,9,7
843,43,Research & Development,2,Life Sciences,Male,Research Director,1,17159,4,22,4,1
844,27,Research & Development,1,Technical Degree,Male,Research Director,4,12808,3,9,9,0
845,35,Research & Development,3,Other,Male,Manufacturing Director,3,10221,4,17,8,1
846,28,Sales,4,Marketing,Female,Sales Executive,2,4779,4,8,8,7
847,34,Human Resources,2,Human Resources,Male,Human Resources,4,3737,3,4,3,0
848,26,Research & Development,2,Medical,Female,Research Scientist,3,2366,3,8,8,1
850,27,Research & Development,3,Medical,Male,Research Scientist,4,1706,3,0,0,0
851,51,Sales,4,Marketing,Female,Manager,3,16307,3,29,20,4
852,44,Research & Development,3,Medical,Male,Healthcare Representative,2,5933,3,10,5,2
854,25,Research & Development,1,Medical,Male,Research Scientist,1,3424,3,6,4,0
855,33,Sales,3,Medical,Male,Sales Executive,1,4037,4,9,9,0
856,35,Research & Development,1,Medical,Female,Research Scientist,1,2559,3,6,6,1
857,36,Sales,2,Life Sciences,Male,Sales Executive,4,6201,3,18,18,4
859,32,Sales,4,Life Sciences,Male,Sales Executive,4,4403,3,8,5,0
861,30,Research & Development,4,Life Sciences,Male,Research Scientist,4,3761,3,10,5,0
862,53,Sales,2,Marketing,Female,Sales Executive,4,10934,3,35,5,0
864,45,Sales,3,Marketing,Male,Sales Executive,1,10761,3,18,5,0
865,32,Research & Development,2,Medical,Female,Research Scientist,3,5175,3,9,5,1
867,52,Research & Development,4,Medical,Female,Manufacturing Director,4,13826,4,31,9,0
868,37,Sales,4,Marketing,Male,Sales Executive,3,6334,3,9,1,0
869,28,Human Resources,2,Medical,Male,Human Resources,4,4936,3,6,5,0
872,22,Research & Development,2,Life Sciences,Male,Manufacturing Director,4,4775,4,4,2,2
874,44,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,2818,4,10,3,0
875,42,Research & Development,1,Medical,Male,Research Scientist,4,2515,3,8,2,2
878,36,Human Resources,3,Life Sciences,Male,Human Resources,1,2342,4,6,5,0
879,25,Sales,1,Other,Male,Sales Executive,1,4194,3,5,5,0
880,35,Research & Development,3,Life Sciences,Female,Manufacturing Director,3,10685,4,17,17,5
881,35,Research & Development,4,Life Sciences,Female,Research Scientist,2,2022,3,10,10,7
882,32,Research & Development,3,Life Sciences,Male,Laboratory Technician,4,2314,3,4,3,0
885,25,Sales,1,Marketing,Male,Sales Executive,1,4256,3,5,5,0
887,49,Research & Development,3,Technical Degree,Female,Research Scientist,1,3580,3,7,4,0
888,24,Research & Development,1,Life Sciences,Male,Laboratory Technician,4,3162,3,6,5,3
889,32,Sales,2,Life Sciences,Male,Sales Executive,2,6524,3,10,10,5
893,38,Sales,3,Marketing,Male,Sales Representative,2,2899,3,3,2,1
894,42,Research & Development,3,Life Sciences,Female,Laboratory Technician,4,5231,3,17,5,1
895,31,Research & Development,4,Life Sciences,Male,Research Scientist,4,2356,3,8,6,0
896,29,Sales,3,Medical,Female,Sales Representative,3,2800,3,5,3,0
897,53,Sales,3,Marketing,Male,Sales Executive,4,11836,3,28,2,2
899,35,Research & Development,3,Technical Degree,Male,Manufacturing Director,2,10903,3,16,13,4
900,37,Sales,2,Medical,Female,Sales Representative,4,2973,3,10,5,0
901,53,Research & Development,4,Life Sciences,Female,Research Director,4,14275,3,33,12,3
902,43,Research & Development,3,Life Sciences,Female,Healthcare Representative,4,5562,3,12,5,2
903,47,Sales,2,Marketing,Female,Sales Executive,4,4537,4,8,7,7
904,37,Sales,2,Medical,Male,Sales Executive,2,7642,3,10,10,0
905,50,Research & Development,4,Life Sciences,Male,Manager,1,17924,3,31,31,14
909,39,Human Resources,3,Life Sciences,Female,Human Resources,4,5204,3,13,5,0
910,33,Human Resources,2,Human Resources,Male,Human Resources,2,2277,3,7,4,0
911,32,Research & Development,4,Life Sciences,Male,Laboratory Technician,4,2795,4,1,1,0
912,29,Research & Development,1,Medical,Female,Laboratory Technician,4,2532,3,8,4,0
913,44,Research & Development,2,Life Sciences,Male,Research Scientist,1,2559,3,8,8,7
916,28,Sales,4,Medical,Male,Sales Executive,4,4908,3,4,4,0
918,58,Research & Development,1,Life Sciences,Male,Laboratory Technician,4,2380,3,3,1,0
920,43,Research & Development,3,Life Sciences,Female,Manufacturing Director,2,4765,4,4,1,0
922,20,Sales,3,Medical,Female,Sales Representative,3,2044,3,2,2,0
923,21,Research & Development,1,Other,Female,Research Scientist,4,2693,3,1,1,0
924,36,Research & Development,1,Life Sciences,Male,Healthcare Representative,4,6586,3,17,16,4
925,47,Sales,4,Life Sciences,Female,Sales Representative,4,3294,3,3,3,1
926,22,Research & Development,1,Life Sciences,Female,Manufacturing Director,3,4171,3,4,3,0
927,41,Research & Development,4,Life Sciences,Female,Laboratory Technician,4,2778,3,10,7,1
930,28,Research & Development,3,Medical,Female,Research Scientist,3,2377,3,6,2,2
932,39,Research & Development,3,Medical,Male,Laboratory Technician,1,2404,4,8,2,2
933,27,Research & Development,3,Life Sciences,Female,Research Scientist,3,2318,3,1,1,0
934,34,Research & Development,3,Life Sciences,Male,Laboratory Technician,2,2008,3,1,1,1
936,42,Sales,2,Medical,Female,Sales Executive,3,6244,3,10,5,0
939,33,Research & Development,4,Other,Male,Research Scientist,1,2799,3,6,3,0
940,58,Research & Development,3,Technical Degree,Female,Healthcare Representative,2,10552,3,24,6,0
941,31,Sales,4,Life Sciences,Male,Sales Representative,3,2329,3,13,7,5
942,35,Research & Development,1,Life Sciences,Female,Healthcare Representative,4,4014,4,10,10,0
944,49,Research & Development,2,Other,Female,Laboratory Technician,2,7403,3,29,26,1
945,48,Research & Development,4,Medical,Male,Research Scientist,3,2259,3,13,0,0
947,31,Sales,2,Marketing,Female,Sales Executive,3,6932,3,9,9,0
949,36,Research & Development,4,Other,Male,Research Scientist,4,4678,3,8,6,0
950,38,Research & Development,3,Technical Degree,Female,Research Director,1,13582,3,15,15,5
951,32,Research & Development,3,Life Sciences,Female,Laboratory Technician,2,2332,4,5,3,0
952,25,Sales,2,Marketing,Male,Sales Representative,2,2413,3,1,1,0
954,40,Sales,4,Marketing,Male,Sales Executive,2,9705,3,11,1,0
956,26,Sales,3,Medical,Male,Sales Executive,1,4294,3,7,7,0
957,41,Research & Development,3,Medical,Male,Laboratory Technician,1,4721,3,20,18,2
